"PRCP","PRCP_ATTRIBUTES","SNOW_ATTRIBUTES","TAVG","TMAX","TMIN","WT01","weather_condition"
0.898141807905238,"4","4",-0.392084885384833,-0.129476339721606,-0.737629314720187,1,"No Snow"
-0.333057799282624,"4","3",-0.926004122949577,-0.850210255411077,-0.858215241631476,0,"No Snow"
1.41114164423351,"4","4",-0.748031043761329,-1.01653346672403,-0.496457460897608,1,"No Snow"
-0.401457777459727,"4","4",-0.807355403490745,-0.794769184973425,-1.28026598582099,0,"No Snow"
-0.401457777459727,"4","4",-1.63789643970257,-1.68182631197585,-1.64202376655486,0,"No Snow"
-0.333057799282624,"4","3",-1.16330156186724,-1.01653346672403,-0.978801168542766,1,"No Snow"
0.0431420806914452,"4","4",-0.807355403490745,-0.850210255411077,-0.677336351264542,1,"No Snow"
-0.401457777459727,"3","3",-1.04465284240841,-1.34917988934994,-1.21997302236534,0,"No Snow"
-0.401457777459727,"4","4",-1.57857207997315,-1.7372673824135,-1.76260969346615,0,"No Snow"
-0.401457777459727,"4","4",-1.99384259807906,-1.79270845285115,-1.88319562037744,0,"No Snow"
-0.401457777459727,"4","4",-1.87519387862023,-1.79270845285115,-1.82290265692179,0,"No Snow"
-0.401457777459727,"3","3",-1.63789643970257,-1.68182631197585,-1.40085191273228,0,"No Snow"
-0.401457777459727,"4","4",-1.28195028132607,-1.12741560759933,-1.28026598582099,0,"No Snow"
-0.401457777459727,"4","4",-2.34978875645556,-1.8481495232888,-2.36553932802259,0,"No Snow"
-0.401457777459727,"3","4",-1.45992336051432,-0.739328114535774,-1.58173080309921,0,"No Snow"
-0.401457777459727,"4","4",-0.866679763220161,-1.07197453716168,-1.03909413199841,0,"No Snow"
-0.401457777459727,"4","4",-1.16330156186724,-1.07197453716168,-1.34055894927663,0,"No Snow"
-0.230457832016968,"4","3",-1.51924772024374,-1.29373881891229,-1.58173080309921,1,"No Snow"
0.1457420479571,"4","4",-1.22262592159666,-1.23829774847464,-2.2449534011113,1,"Snow"
-0.401457777459727,"4","4",-2.46843747591439,-2.40256022766532,-2.48612525493388,0,"No Snow"
-0.401457777459727,"4","4",-1.87519387862023,-1.46006203022524,-1.94348858383308,0,"No Snow"
-0.401457777459727,"4","4",-1.16330156186724,-1.23829774847464,-1.1596800589097,1,"No Snow"
-0.401457777459727,"4","4",-0.510733604843665,0.0922879420289998,-0.677336351264542,1,"No Snow"
-0.162057853839865,"4","4",-0.629382324302497,-0.24035848059691,-0.918508205087121,1,"No Snow"
-0.401457777459727,"4","4",-1.4005990007849,-1.34917988934994,-1.34055894927663,0,"No Snow"
2.71074122959848,"4","4",-1.63789643970257,-1.29373881891229,-1.64202376655486,1,"Snow"
-0.401457777459727,"4","4",-1.10397720213782,-1.18285667803699,-0.918508205087121,0,"No Snow"
-0.401457777459727,"4","4",-0.629382324302497,-0.683887044098122,-0.918508205087121,0,"No Snow"
-0.401457777459727,"4","3",-1.4005990007849,-1.5155031006629,-1.34055894927663,1,"No Snow"
0.658741884285376,"4","4",-1.4005990007849,-1.6263852415382,-1.52143783964357,1,"Snow"
-0.401457777459727,"4","4",-1.69722079943198,-1.5155031006629,-1.7023167300105,0,"No Snow"
-0.0594578865742099,"4","4",-1.63789643970257,-1.68182631197585,-1.52143783964357,1,"Snow"
1.03494176425944,"4","4",-1.16330156186724,-0.739328114535774,-1.21997302236534,1,"Snow"
-0.401457777459727,"4","4",-1.10397720213782,-1.29373881891229,-0.978801168542766,0,"No Snow"
1.24014169879075,"4","4",-0.866679763220161,-0.794769184973425,-0.737629314720187,1,"No Snow"
-0.401457777459727,"3","3",-0.866679763220161,-1.07197453716168,-0.978801168542766,0,"No Snow"
-0.401457777459727,"4","4",-1.45992336051432,-1.6263852415382,-1.58173080309921,0,"No Snow"
0.214142026134204,"4","4",-1.22262592159666,-1.5155031006629,-0.858215241631476,1,"Snow"
-0.401457777459727,"4","4",-1.63789643970257,-1.68182631197585,-1.64202376655486,0,"No Snow"
-0.401457777459727,"4","4",-1.93451823834965,-1.7372673824135,-1.88319562037744,0,"No Snow"
-0.401457777459727,"4","4",-1.16330156186724,-0.850210255411077,-1.21997302236534,0,"No Snow"
1.17174172061365,"4","4",-1.10397720213782,-1.18285667803699,-0.918508205087121,1,"Snow"
-0.401457777459727,"4","4",-0.807355403490745,-0.905651325848728,-0.737629314720187,0,"No Snow"
-0.401457777459727,"4","4",-0.748031043761329,-0.573004903222819,-0.617043387808898,0,"No Snow"
0.282542004311307,"4","4",-0.0954630867377529,0.147729012466651,-0.375871533986319,1,"No Snow"
-0.401457777459727,"4","4",-0.214111806196585,-0.295799551034561,-0.617043387808898,0,"No Snow"
-0.401457777459727,"4","4",-1.04465284240841,-0.96109239628638,-1.09938709545405,0,"No Snow"
-0.401457777459727,"4","4",-0.807355403490745,-0.573004903222819,-0.918508205087121,0,"No Snow"
-0.401457777459727,"3","4",-0.629382324302497,-0.517563832785167,-0.797922278175832,0,"No Snow"
-0.401457777459727,"4","4",-0.570057964573081,-0.0740352692839549,-0.737629314720187,0,"No Snow"
-0.401457777459727,"4","4",-0.392084885384833,-0.517563832785167,-0.617043387808898,0,"No Snow"
-0.401457777459727,"4","4",-0.985328482678993,-0.96109239628638,-0.918508205087121,0,"No Snow"
-0.401457777459727,"4","4",-0.154787446467169,0.314052223779606,-0.13469968016374,1,"No Snow"
-0.0936578756627617,"4","4",0.260483071638743,0.480375435092561,-0.315578570530674,1,"No Snow"
-0.230457832016968,"4","4",-0.688706684031913,-0.462122762347516,-0.978801168542766,0,"No Snow"
