"AWND","PRCP","PRCP_ATTRIBUTES","SNOW_ATTRIBUTES","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT08","weather_condition"
1.3128087488718,0.898141807905238,"4","4",-0.392084885384833,-0.129476339721606,-0.737629314720187,0.867859991156697,0.79762248752832,2.17672536355651,2.2175704905518,1,0,0,"No Snow"
-0.122504057918398,-0.333057799282624,"4","3",-0.926004122949577,-0.850210255411077,-0.858215241631476,1.17842745859953,1.10683700750326,-0.191392814294787,-0.0174968381958633,0,0,0,"No Snow"
-0.480664050674239,1.41114164423351,"4","4",-0.748031043761329,-1.01653346672403,-0.496457460897608,1.59251741518997,1.5191230341365,-0.471827861671914,-0.601534532139975,1,0,0,"No Snow"
0.895846369245597,-0.401457777459727,"4","4",-0.807355403490745,-0.794769184973425,-1.28026598582099,1.07490496945192,1.00376550084494,1.38215939598798,1.5324493495789,0,0,0,"No Snow"
0.176853547967081,-0.401457777459727,"4","4",-1.63789643970257,-1.68182631197585,-1.64202376655486,1.17842745859953,1.00376550084494,1.24194187229942,1.3078194672927,0,0,0,"No Snow"
-0.897626430300441,-0.333057799282624,"4","3",-1.16330156186724,-1.01653346672403,-0.978801168542766,-0.477932367762241,-0.542307099029736,-0.643204835069047,-0.702617979168764,1,0,1,"No Snow"
1.25400636200144,0.0431420806914452,"4","4",-0.807355403490745,-0.850210255411077,-0.677336351264542,0.660815012861476,0.591479474211696,1.24194187229942,1.43136590255011,1,0,0,"No Snow"
1.374283971509,-0.401457777459727,"3","3",-1.04465284240841,-1.34917988934994,-1.21997302236534,0.867859991156697,1.20990851416157,0.618752878128024,0.881022690948924,0,0,0,"No Snow"
1.91152396064276,-0.401457777459727,"4","4",-1.57857207997315,-1.7372673824135,-1.76260969346615,1.17842745859953,1.00376550084494,1.07056489890228,0.881022690948924,0,0,0,"No Snow"
1.01345114298632,-0.401457777459727,"4","4",-1.99384259807906,-1.79270845285115,-1.88319562037744,0.867859991156697,0.79762248752832,0.431796179876606,0.532846373405319,0,0,0,"No Snow"
-0.718546433922521,-0.401457777459727,"4","4",-1.87519387862023,-1.79270845285115,-1.82290265692179,1.17842745859953,1.00376550084494,-0.78342235875761,-0.826164414426172,0,0,0,"No Snow"
-0.600941660181797,-0.401457777459727,"3","3",-1.63789643970257,-1.68182631197585,-1.40085191273228,1.59251741518997,1.5191230341365,-0.78342235875761,-0.927247861454961,0,0,0,"No Snow"
0.176853547967081,-0.401457777459727,"4","4",-1.28195028132607,-1.12741560759933,-1.28026598582099,0.350247545418644,0.79762248752832,-0.191392814294787,0.207133044090334,0,0,0,"No Snow"
0.8343711466084,-0.401457777459727,"4","4",-2.34978875645556,-1.8481495232888,-2.36553932802259,0.867859991156697,0.79762248752832,0.743390676962303,1.0831895850065,0,0,0,"No Snow"
0.716766372867676,-0.401457777459727,"3","4",-1.45992336051432,-0.739328114535774,-1.58173080309921,0.143202567123423,0.179193447578448,0.431796179876606,0.308216491119122,0,0,0,"No Snow"
0.716766372867676,-0.401457777459727,"4","4",-0.866679763220161,-1.07197453716168,-1.03909413199841,0.764337502009087,0.591479474211696,0.618752878128024,0.532846373405319,0,0,0,"No Snow"
-0.240108831659122,-0.401457777459727,"4","4",-1.16330156186724,-1.07197453716168,-1.34055894927663,1.17842745859953,1.10683700750326,-0.471827861671914,-0.376904649853779,0,0,0,"No Snow"
0.417408766982197,-0.230457832016968,"4","3",-1.51924772024374,-1.29373881891229,-1.58173080309921,-0.892022324352683,-0.954593125662984,-0.191392814294787,-0.477988096882567,1,0,0,"No Snow"
1.3128087488718,0.1457420479571,"4","4",-1.22262592159666,-1.23829774847464,-2.2449534011113,0.660815012861476,0.591479474211696,1.86513086647081,1.89185716123681,1,0,0,"Snow"
1.67096874162764,-0.401457777459727,"4","4",-2.46843747591439,-2.40256022766532,-2.48612525493388,0.557292523713866,0.694550980870008,0.618752878128024,0.982106137977713,0,0,0,"No Snow"
0.476211153852559,-0.401457777459727,"4","4",-1.87519387862023,-1.46006203022524,-1.94348858383308,0.143202567123423,0.385336460895072,0.618752878128024,0.532846373405319,0,0,0,"No Snow"
-1.25845925882312,-0.401457777459727,"4","4",-1.16330156186724,-1.23829774847464,-1.1596800589097,-0.0638424111717983,-0.0269495657381759,-1.09501685584331,-1.02833130848375,1,0,1,"No Snow"
-0.419188828037042,-0.401457777459727,"4","4",-0.510733604843665,0.0922879420289998,-0.677336351264542,0.143202567123423,-0.0269495657381759,-0.78342235875761,-0.601534532139975,1,0,1,"No Snow"
0.596488763360118,-0.162057853839865,"4","4",-0.629382324302497,-0.24035848059691,-0.918508205087121,0.764337502009087,0.591479474211696,1.86513086647081,1.89185716123681,1,0,0,"No Snow"
0.355933544345001,-0.401457777459727,"4","4",-1.4005990007849,-1.34917988934994,-1.34055894927663,0.660815012861476,0.591479474211696,-0.191392814294787,-0.24212672048206,0,0,0,"No Snow"
0.8343711466084,2.71074122959848,"4","4",-1.63789643970257,-1.29373881891229,-1.64202376655486,-1.20258979179552,-1.26380764563792,0.618752878128024,0.532846373405319,1,0,0,"Snow"
0.716766372867676,-0.401457777459727,"4","4",-1.10397720213782,-1.18285667803699,-0.918508205087121,0.867859991156697,0.900693994186632,1.24194187229942,1.3078194672927,0,0,0,"No Snow"
0.297131157474639,-0.401457777459727,"4","4",-0.629382324302497,-0.683887044098122,-0.918508205087121,1.07490496945192,0.900693994186632,-0.471827861671914,-0.24212672048206,0,0,0,"No Snow"
