"","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","weather_condition"
"16","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-16",11.63,",,W",NA,"",0,",,W,2400",0,",,W",32,"H,,S",41,",,W",25,",,W",240,",,W",290,",,W",19.9,",,W",29.1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"17","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-17",9.62,",,W",NA,"",0,",,W,2400",0,",,W",27,"H,,S",33,",,W",18,",,W",330,",,W",330,",,W",19.9,",,W",25.9,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"18","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-18",6.71,",,W",NA,"",0,",,W,2400",0,",,W",32,"H,,S",43,",,W",27,",,W",240,",,W",230,",,W",15,",,W",19.9,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"19","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-19",12.08,",,W",NA,"",0.13,",,W,2400",0.5,",,W",33,"H,,S",37,",,W",28,",,W",80,",,W",80,",,W",25.1,",,W",30,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",1,",,W",NA,"",NA,"","Snow"
"20","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-20",17.9,",,W",NA,"",1.2,",,W,2400",1.1,",,W",30,"H,,S",37,",,W",10,",,W",70,",,W",300,",,W",32,",,W",40.9,",,W",1,",,W",NA,"",NA,"",1,",,W",NA,"",1,",,W",1,",,W",NA,"","Snow"
"21","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-21",20.13,",,W",NA,"",0,"T,,W,2400",0,"T,,W",9,"H,,S",10,",,W",5,",,W",290,",,W",320,",,W",29.1,",,W",40.9,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,W",1,",,W","No Snow"
"22","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-22",14.09,",,W",NA,"",0,",,W,2400",0,",,W",14,"H,,S",28,",,W",7,",,W",290,",,W",290,",,W",25.9,",,W",36.9,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"23","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-23",13.65,",,W",NA,"",0,"T,,W,2400",0,",,W",29,"H,,S",48,",,W",20,",,W",220,",,W",230,",,W",23.9,",,W",30,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"24","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-24",23.71,",,W",NA,"",1,",,W,2400",0,",,W",52,"H,,S",59,",,W",37,",,W",180,",,W",190,",,W",38.9,",,W",53,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,W",NA,"","No Snow"
"25","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-25",13.65,",,W",NA,"",0,",,W,2400",0,",,W",39,"H,,S",42,",,W",29,",,W",280,",,W",270,",,W",25.1,",,W",32,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
